CountFI,FECHA_INGRESO
3,2020-01-01
5,2020-01-05
7,2020-01-06
4,2020-01-07
11,2020-01-08
1,2020-01-09
9,2020-01-10
6,2020-01-11
4,2020-01-12
7,2020-01-13
14,2020-01-14
7,2020-01-15
12,2020-01-16
8,2020-01-17
6,2020-01-18
5,2020-01-19
11,2020-01-20
6,2020-01-21
11,2020-01-22
7,2020-01-23
6,2020-01-24
12,2020-01-25
2,2020-01-26
11,2020-01-27
8,2020-01-28
4,2020-01-29
8,2020-01-30
2,2020-01-31
6,2020-02-01
17,2020-02-03
9,2020-02-04
9,2020-02-05
4,2020-02-06
4,2020-02-07
10,2020-02-09
2,2020-02-10
12,2020-02-11
12,2020-02-12
12,2020-02-13
2,2020-02-14
20,2020-02-15
6,2020-02-16
8,2020-02-17
16,2020-02-18
29,2020-02-19
18,2020-02-20
7,2020-02-21
13,2020-02-22
6,2020-02-23
34,2020-02-24
12,2020-02-25
17,2020-02-26
65,2020-02-27
40,2020-02-28
20,2020-02-29
17,2020-03-01
49,2020-03-02
94,2020-03-03
85,2020-03-04
88,2020-03-05
47,2020-03-06
56,2020-03-07
74,2020-03-08
46,2020-03-09
152,2020-03-10
376,2020-03-11
392,2020-03-12
648,2020-03-13
514,2020-03-14
374,2020-03-15
746,2020-03-16
1021,2020-03-17
1144,2020-03-18
1509,2020-03-19
1315,2020-03-20
834,2020-03-21
690,2020-03-22
1640,2020-03-23
2206,2020-03-24
1802,2020-03-25
2207,2020-03-26
2587,2020-03-27
1872,2020-03-28
1610,2020-03-29
3391,2020-03-30
3072,2020-03-31
3722,2020-04-01
3413,2020-04-02
3834,2020-04-03
2444,2020-04-04
2519,2020-04-05
6176,2020-04-06
5065,2020-04-07
5691,2020-04-08
4697,2020-04-09
5569,2020-04-10
4548,2020-04-11
4641,2020-04-12
9317,2020-04-13
9131,2020-04-14
9635,2020-04-15
9774,2020-04-16
11266,2020-04-17
7954,2020-04-18
7661,2020-04-19
14864,2020-04-20
14413,2020-04-21
13891,2020-04-22
14748,2020-04-23
16984,2020-04-24
11256,2020-04-25
10768,2020-04-26
18955,2020-04-27
19169,2020-04-28
18917,2020-04-29
18563,2020-04-30
15054,2020-05-01
14471,2020-05-02
13314,2020-05-03
25991,2020-05-04
21860,2020-05-05
23501,2020-05-06
24872,2020-05-07
24905,2020-05-08
16083,2020-05-09
15053,2020-05-10
30653,2020-05-11
30270,2020-05-12
31906,2020-05-13
31709,2020-05-14
36260,2020-05-15
22311,2020-05-16
17017,2020-05-17
41336,2020-05-18
36641,2020-05-19
40052,2020-05-20
40745,2020-05-21
40856,2020-05-22
23700,2020-05-23
19640,2020-05-24
47419,2020-05-25
43910,2020-05-26
45282,2020-05-27
42784,2020-05-28
44296,2020-05-29
27903,2020-05-30
21572,2020-05-31
53968,2020-06-01
48052,2020-06-02
50273,2020-06-03
49797,2020-06-04
51131,2020-06-05
31082,2020-06-06
24282,2020-06-07
62402,2020-06-08
58358,2020-06-09
57945,2020-06-10
54458,2020-06-11
57048,2020-06-12
31908,2020-06-13
26617,2020-06-14
66433,2020-06-15
64566,2020-06-16
61646,2020-06-17
61263,2020-06-18
61373,2020-06-19
36719,2020-06-20
25634,2020-06-21
69663,2020-06-22
66083,2020-06-23
63387,2020-06-24
63191,2020-06-25
65943,2020-06-26
37402,2020-06-27
30246,2020-06-28
75491,2020-06-29
72153,2020-06-30
76753,2020-07-01
70836,2020-07-02
71033,2020-07-03
37227,2020-07-04
30599,2020-07-05
78693,2020-07-06
79210,2020-07-07
74586,2020-07-08
70782,2020-07-09
72067,2020-07-10
39134,2020-07-11
32632,2020-07-12
89015,2020-07-13
84670,2020-07-14
88474,2020-07-15
82599,2020-07-16
80311,2020-07-17
44339,2020-07-18
34747,2020-07-19
91247,2020-07-20
86562,2020-07-21
83086,2020-07-22
80849,2020-07-23
80268,2020-07-24
41959,2020-07-25
30461,2020-07-26
85032,2020-07-27
81941,2020-07-28
76682,2020-07-29
75809,2020-07-30
67310,2020-07-31
38187,2020-08-01
25441,2020-08-02
75176,2020-08-03
73940,2020-08-04
71704,2020-08-05
66860,2020-08-06
66204,2020-08-07
36756,2020-08-08
24254,2020-08-09
72405,2020-08-10
68887,2020-08-11
64803,2020-08-12
64492,2020-08-13
62132,2020-08-14
32453,2020-08-15
23275,2020-08-16
69028,2020-08-17
67160,2020-08-18
62913,2020-08-19
60190,2020-08-20
63048,2020-08-21
31508,2020-08-22
23396,2020-08-23
70700,2020-08-24
66716,2020-08-25
70391,2020-08-26
65081,2020-08-27
63361,2020-08-28
31516,2020-08-29
22197,2020-08-30
70171,2020-08-31
71391,2020-09-01
69300,2020-09-02
62897,2020-09-03
60445,2020-09-04
28911,2020-09-05
20810,2020-09-06
64066,2020-09-07
66200,2020-09-08
60548,2020-09-09
57054,2020-09-10
55016,2020-09-11
27978,2020-09-12
19015,2020-09-13
62597,2020-09-14
43476,2020-09-15
22247,2020-09-16
63915,2020-09-17
56282,2020-09-18
28041,2020-09-19
18351,2020-09-20
62943,2020-09-21
61683,2020-09-22
58099,2020-09-23
53846,2020-09-24
52776,2020-09-25
26502,2020-09-26
18137,2020-09-27
62565,2020-09-28
59654,2020-09-29
55355,2020-09-30
52801,2020-10-01
50087,2020-10-02
24372,2020-10-03
17442,2020-10-04
58840,2020-10-05
59475,2020-10-06
57435,2020-10-07
55012,2020-10-08
56723,2020-10-09
30224,2020-10-10
21842,2020-10-11
67957,2020-10-12
71161,2020-10-13
64675,2020-10-14
64630,2020-10-15
66084,2020-10-16
33278,2020-10-17
23338,2020-10-18
82106,2020-10-19
83744,2020-10-20
73956,2020-10-21
72692,2020-10-22
72332,2020-10-23
34807,2020-10-24
24502,2020-10-25
83636,2020-10-26
79425,2020-10-27
71655,2020-10-28
68543,2020-10-29
62759,2020-10-30
29886,2020-10-31
21421,2020-11-01
51240,2020-11-02
80664,2020-11-03
75958,2020-11-04
75026,2020-11-05
70665,2020-11-06
35132,2020-11-07
26084,2020-11-08
88456,2020-11-09
88246,2020-11-10
83467,2020-11-11
81446,2020-11-12
75628,2020-11-13
38790,2020-11-14
26160,2020-11-15
32562,2020-11-16
95715,2020-11-17
87102,2020-11-18
82210,2020-11-19
83443,2020-11-20
41897,2020-11-21
27493,2020-11-22
102970,2020-11-23
102638,2020-11-24
95392,2020-11-25
95739,2020-11-26
95490,2020-11-27
48469,2020-11-28
29701,2020-11-29
108669,2020-11-30
115202,2020-12-01
113845,2020-12-02
111362,2020-12-03
108436,2020-12-04
59248,2020-12-05
31238,2020-12-06
129710,2020-12-07
129212,2020-12-08
123768,2020-12-09
125880,2020-12-10
124139,2020-12-11
67879,2020-12-12
33660,2020-12-13
142221,2020-12-14
139284,2020-12-15
131994,2020-12-16
127234,2020-12-17
124395,2020-12-18
65376,2020-12-19
37513,2020-12-20
143031,2020-12-21
137801,2020-12-22
126123,2020-12-23
103558,2020-12-24
26652,2020-12-25
58284,2020-12-26
43161,2020-12-27
158393,2020-12-28
158488,2020-12-29
145329,2020-12-30
119700,2020-12-31
32893,2021-01-01
67724,2021-01-02
50845,2021-01-03
178733,2021-01-04
185983,2021-01-05
182419,2021-01-06
185714,2021-01-07
183750,2021-01-08
96683,2021-01-09
54688,2021-01-10
205574,2021-01-11
193395,2021-01-12
181615,2021-01-13
180812,2021-01-14
172183,2021-01-15
92933,2021-01-16
51145,2021-01-17
191072,2021-01-18
186383,2021-01-19
172805,2021-01-20
167280,2021-01-21
162540,2021-01-22
85049,2021-01-23
45972,2021-01-24
176596,2021-01-25
167583,2021-01-26
146301,2021-01-27
137053,2021-01-28
118762,2021-01-29
62826,2021-01-30
33673,2021-01-31
41012,2021-02-01
120294,2021-02-02
107037,2021-02-03
97913,2021-02-04
91415,2021-02-05
46859,2021-02-06
24291,2021-02-07
103714,2021-02-08
83078,2021-02-09
77014,2021-02-10
70365,2021-02-11
68596,2021-02-12
35559,2021-02-13
19086,2021-02-14
73588,2021-02-15
69502,2021-02-16
62842,2021-02-17
62351,2021-02-18
59671,2021-02-19
30267,2021-02-20
17975,2021-02-21
75950,2021-02-22
66011,2021-02-23
59889,2021-02-24
58998,2021-02-25
58599,2021-02-26
29653,2021-02-27
17184,2021-02-28
68179,2021-03-01
54703,2021-03-02
51803,2021-03-03
49595,2021-03-04
47601,2021-03-05
24188,2021-03-06
15689,2021-03-07
55583,2021-03-08
47006,2021-03-09
43402,2021-03-10
42144,2021-03-11
40743,2021-03-12
21078,2021-03-13
12303,2021-03-14
16884,2021-03-15
53021,2021-03-16
41480,2021-03-17
39334,2021-03-18
37247,2021-03-19
19228,2021-03-20
12187,2021-03-21
46409,2021-03-22
40404,2021-03-23
35742,2021-03-24
35554,2021-03-25
32128,2021-03-26
17512,2021-03-27
10156,2021-03-28
40599,2021-03-29
33396,2021-03-30
29599,2021-03-31
14462,2021-04-01
11595,2021-04-02
11077,2021-04-03
9862,2021-04-04
38236,2021-04-05
31886,2021-04-06
30248,2021-04-07
29007,2021-04-08
27548,2021-04-09
15263,2021-04-10
8341,2021-04-11
34498,2021-04-12
28669,2021-04-13
26018,2021-04-14
25650,2021-04-15
22746,2021-04-16
11539,2021-04-17
7668,2021-04-18
29422,2021-04-19
24573,2021-04-20
24554,2021-04-21
21916,2021-04-22
21445,2021-04-23
11940,2021-04-24
7245,2021-04-25
26634,2021-04-26
23353,2021-04-27
21034,2021-04-28
19507,2021-04-29
17106,2021-04-30
5955,2021-05-01
5671,2021-05-02
20295,2021-05-03
17113,2021-05-04
15233,2021-05-05
16413,2021-05-06
14579,2021-05-07
7559,2021-05-08
4667,2021-05-09
10219,2021-05-10
18551,2021-05-11
15376,2021-05-12
13788,2021-05-13
14423,2021-05-14
7206,2021-05-15
4470,2021-05-16
16526,2021-05-17
14921,2021-05-18
14372,2021-05-19
13923,2021-05-20
13735,2021-05-21
6830,2021-05-22
4750,2021-05-23
17174,2021-05-24
15714,2021-05-25
15203,2021-05-26
14506,2021-05-27
14148,2021-05-28
6580,2021-05-29
5289,2021-05-30
16447,2021-05-31
13839,2021-06-01
13878,2021-06-02
13129,2021-06-03
13708,2021-06-04
6723,2021-06-05
4168,2021-06-06
18230,2021-06-07
17757,2021-06-08
16731,2021-06-09
16119,2021-06-10
16227,2021-06-11
8495,2021-06-12
5455,2021-06-13
20635,2021-06-14
19097,2021-06-15
19342,2021-06-16
19391,2021-06-17
19503,2021-06-18
10131,2021-06-19
6279,2021-06-20
25830,2021-06-21
25350,2021-06-22
25822,2021-06-23
25831,2021-06-24
25218,2021-06-25
13305,2021-06-26
8139,2021-06-27
32999,2021-06-28
29873,2021-06-29
27265,2021-06-30
25569,2021-07-01
26473,2021-07-02
13715,2021-07-03
8950,2021-07-04
36392,2021-07-05
36545,2021-07-06
39337,2021-07-07
39355,2021-07-08
40831,2021-07-09
20872,2021-07-10
13671,2021-07-11
54293,2021-07-12
54445,2021-07-13
53770,2021-07-14
52603,2021-07-15
54487,2021-07-16
26605,2021-07-17
18046,2021-07-18
69967,2021-07-19
70146,2021-07-20
68688,2021-07-21
71815,2021-07-22
68250,2021-07-23
33137,2021-07-24
24058,2021-07-25
85213,2021-07-26
82101,2021-07-27
75894,2021-07-28
75816,2021-07-29
67250,2021-07-30
29530,2021-07-31
21142,2021-08-01
68816,2021-08-02
66436,2021-08-03
63381,2021-08-04
63424,2021-08-05
61614,2021-08-06
29169,2021-08-07
22003,2021-08-08
74508,2021-08-09
72037,2021-08-10
67167,2021-08-11
64674,2021-08-12
62022,2021-08-13
27229,2021-08-14
19563,2021-08-15
70229,2021-08-16
63410,2021-08-17
60535,2021-08-18
54174,2021-08-19
51758,2021-08-20
21796,2021-08-21
16914,2021-08-22
60449,2021-08-23
52896,2021-08-24
48636,2021-08-25
44960,2021-08-26
41535,2021-08-27
18418,2021-08-28
12245,2021-08-29
44707,2021-08-30
35402,2021-08-31
28304,2021-09-01
26648,2021-09-02
25746,2021-09-03
12120,2021-09-04
7868,2021-09-05
30768,2021-09-06
25566,2021-09-07
23394,2021-09-08
22762,2021-09-09
21852,2021-09-10
9666,2021-09-11
6994,2021-09-12
25892,2021-09-13
21556,2021-09-14
14088,2021-09-15
7054,2021-09-16
21308,2021-09-17
8452,2021-09-18
5890,2021-09-19
22994,2021-09-20
18554,2021-09-21
17656,2021-09-22
15388,2021-09-23
14424,2021-09-24
6288,2021-09-25
4396,2021-09-26
17042,2021-09-27
12334,2021-09-28
9862,2021-09-29
4756,2021-09-30
34,2021-10-01
