CountFI,FECHA_INGRESO
32893,2021-01-01
67724,2021-01-02
50845,2021-01-03
178733,2021-01-04
185983,2021-01-05
182419,2021-01-06
185714,2021-01-07
183750,2021-01-08
96683,2021-01-09
54688,2021-01-10
205574,2021-01-11
193395,2021-01-12
181615,2021-01-13
180812,2021-01-14
172183,2021-01-15
92933,2021-01-16
51145,2021-01-17
191072,2021-01-18
186383,2021-01-19
172805,2021-01-20
167280,2021-01-21
162540,2021-01-22
85049,2021-01-23
45972,2021-01-24
176596,2021-01-25
167583,2021-01-26
146301,2021-01-27
137053,2021-01-28
118762,2021-01-29
62826,2021-01-30
33673,2021-01-31
41012,2021-02-01
120294,2021-02-02
107037,2021-02-03
97913,2021-02-04
91415,2021-02-05
46859,2021-02-06
24291,2021-02-07
103714,2021-02-08
83078,2021-02-09
77014,2021-02-10
70365,2021-02-11
68596,2021-02-12
35559,2021-02-13
19086,2021-02-14
73588,2021-02-15
69502,2021-02-16
62842,2021-02-17
62351,2021-02-18
59671,2021-02-19
30267,2021-02-20
17975,2021-02-21
75950,2021-02-22
66011,2021-02-23
59889,2021-02-24
58998,2021-02-25
58599,2021-02-26
29653,2021-02-27
17184,2021-02-28
68179,2021-03-01
54703,2021-03-02
51803,2021-03-03
49595,2021-03-04
47601,2021-03-05
24188,2021-03-06
15689,2021-03-07
55583,2021-03-08
47006,2021-03-09
43402,2021-03-10
42144,2021-03-11
40743,2021-03-12
21078,2021-03-13
12303,2021-03-14
16884,2021-03-15
53021,2021-03-16
41480,2021-03-17
39334,2021-03-18
37247,2021-03-19
19228,2021-03-20
12187,2021-03-21
46409,2021-03-22
40404,2021-03-23
35742,2021-03-24
35554,2021-03-25
32128,2021-03-26
17512,2021-03-27
10156,2021-03-28
40599,2021-03-29
33396,2021-03-30
29599,2021-03-31
14462,2021-04-01
11595,2021-04-02
11077,2021-04-03
9862,2021-04-04
38236,2021-04-05
31886,2021-04-06
30248,2021-04-07
29007,2021-04-08
27548,2021-04-09
15263,2021-04-10
8341,2021-04-11
34498,2021-04-12
28669,2021-04-13
26018,2021-04-14
25650,2021-04-15
22746,2021-04-16
11539,2021-04-17
7668,2021-04-18
29422,2021-04-19
24573,2021-04-20
24554,2021-04-21
21916,2021-04-22
21445,2021-04-23
11940,2021-04-24
7245,2021-04-25
26634,2021-04-26
23353,2021-04-27
21034,2021-04-28
19507,2021-04-29
17106,2021-04-30
5955,2021-05-01
5671,2021-05-02
20295,2021-05-03
17113,2021-05-04
15233,2021-05-05
16413,2021-05-06
14579,2021-05-07
7559,2021-05-08
4667,2021-05-09
10219,2021-05-10
18551,2021-05-11
15376,2021-05-12
13788,2021-05-13
14423,2021-05-14
7206,2021-05-15
4470,2021-05-16
16526,2021-05-17
14921,2021-05-18
14372,2021-05-19
13923,2021-05-20
13735,2021-05-21
6830,2021-05-22
4750,2021-05-23
17174,2021-05-24
15714,2021-05-25
15203,2021-05-26
14506,2021-05-27
14148,2021-05-28
6580,2021-05-29
5289,2021-05-30
16447,2021-05-31
13839,2021-06-01
13878,2021-06-02
13129,2021-06-03
13708,2021-06-04
6723,2021-06-05
4168,2021-06-06
18230,2021-06-07
17757,2021-06-08
16731,2021-06-09
16119,2021-06-10
16227,2021-06-11
8495,2021-06-12
5455,2021-06-13
20635,2021-06-14
19097,2021-06-15
19342,2021-06-16
19391,2021-06-17
19503,2021-06-18
10131,2021-06-19
6279,2021-06-20
25830,2021-06-21
25350,2021-06-22
25822,2021-06-23
25831,2021-06-24
25218,2021-06-25
13305,2021-06-26
8139,2021-06-27
32999,2021-06-28
29873,2021-06-29
27265,2021-06-30
25569,2021-07-01
26473,2021-07-02
13715,2021-07-03
8950,2021-07-04
36392,2021-07-05
36545,2021-07-06
39337,2021-07-07
39355,2021-07-08
40831,2021-07-09
20872,2021-07-10
13671,2021-07-11
54293,2021-07-12
54445,2021-07-13
53770,2021-07-14
52603,2021-07-15
54487,2021-07-16
26605,2021-07-17
18046,2021-07-18
69967,2021-07-19
70146,2021-07-20
68688,2021-07-21
71815,2021-07-22
68250,2021-07-23
33137,2021-07-24
24058,2021-07-25
85213,2021-07-26
82101,2021-07-27
75894,2021-07-28
75816,2021-07-29
67250,2021-07-30
29530,2021-07-31
21142,2021-08-01
68816,2021-08-02
66436,2021-08-03
63381,2021-08-04
63424,2021-08-05
61614,2021-08-06
29169,2021-08-07
22003,2021-08-08
74508,2021-08-09
72037,2021-08-10
67167,2021-08-11
64674,2021-08-12
62022,2021-08-13
27229,2021-08-14
19563,2021-08-15
70229,2021-08-16
63410,2021-08-17
60535,2021-08-18
54174,2021-08-19
51758,2021-08-20
21796,2021-08-21
16914,2021-08-22
60449,2021-08-23
52896,2021-08-24
48636,2021-08-25
44960,2021-08-26
41535,2021-08-27
18418,2021-08-28
12245,2021-08-29
44707,2021-08-30
35402,2021-08-31
28304,2021-09-01
26648,2021-09-02
25746,2021-09-03
12120,2021-09-04
7868,2021-09-05
30768,2021-09-06
25566,2021-09-07
23394,2021-09-08
22762,2021-09-09
21852,2021-09-10
9666,2021-09-11
6994,2021-09-12
25892,2021-09-13
21556,2021-09-14
14088,2021-09-15
7054,2021-09-16
21308,2021-09-17
8452,2021-09-18
5890,2021-09-19
22994,2021-09-20
18554,2021-09-21
17656,2021-09-22
15388,2021-09-23
14424,2021-09-24
6288,2021-09-25
4396,2021-09-26
17042,2021-09-27
12334,2021-09-28
9862,2021-09-29
4756,2021-09-30
34,2021-10-01
