CountDEF,FECHA_DEF
1,24/01/2020
4,07/02/2020
3,24/02/2020
7,03/03/2020
7,13/03/2020
13,17/03/2020
29,18/03/2020
10,20/03/2020
20,22/03/2020
10,23/03/2020
26,24/03/2020
20,25/03/2020
80,26/03/2020
85,27/03/2020
150,28/03/2020
90,29/03/2020
132,30/03/2020
243,31/03/2020
211,01/04/2020
269,02/04/2020
334,03/04/2020
370,04/04/2020
322,05/04/2020
558,06/04/2020
594,07/04/2020
495,08/04/2020
590,09/04/2020
747,10/04/2020
775,11/04/2020
811,12/04/2020
950,13/04/2020
1064,14/04/2020
1091,15/04/2020
1001,16/04/2020
1317,17/04/2020
1301,18/04/2020
1689,19/04/2020
1965,20/04/2020
1996,21/04/2020
1992,22/04/2020
2118,23/04/2020
2462,24/04/2020
2682,25/04/2020
2895,26/04/2020
2612,27/04/2020
2893,28/04/2020
3572,29/04/2020
3263,30/04/2020
3796,01/05/2020
3312,02/05/2020
3345,03/05/2020
4174,04/05/2020
4062,05/05/2020
3785,06/05/2020
3701,07/05/2020
4046,08/05/2020
3871,09/05/2020
4116,10/05/2020
4241,11/05/2020
4500,12/05/2020
4592,13/05/2020
5098,14/05/2020
5182,15/05/2020
4933,16/05/2020
5509,17/05/2020
5525,18/05/2020
5484,19/05/2020
5376,20/05/2020
5402,21/05/2020
5246,22/05/2020
5112,23/05/2020
5700,24/05/2020
5928,25/05/2020
5832,26/05/2020
5628,27/05/2020
5893,28/05/2020
5432,29/05/2020
5783,30/05/2020
6036,31/05/2020
6584,01/06/2020
6157,02/06/2020
6475,03/06/2020
6287,04/06/2020
5786,05/06/2020
6386,06/06/2020
6666,07/06/2020
7168,08/06/2020
6671,09/06/2020
6851,10/06/2020
6470,11/06/2020
7050,12/06/2020
6680,13/06/2020
6931,14/06/2020
6916,15/06/2020
7544,16/06/2020
7349,17/06/2020
6582,18/06/2020
6347,19/06/2020
5890,20/06/2020
6707,21/06/2020
6529,22/06/2020
6279,23/06/2020
6277,24/06/2020
6093,25/06/2020
6599,26/06/2020
6806,27/06/2020
6719,28/06/2020
7336,29/06/2020
7004,30/06/2020
6741,01/07/2020
