CountDEF,FECHA_DEF
1,2020-01-24
4,2020-02-07
3,2020-02-24
7,2020-03-03
7,2020-03-13
13,2020-03-17
23,2020-03-18
8,2020-03-20
16,2020-03-22
8,2020-03-23
20,2020-03-24
16,2020-03-25
64,2020-03-26
68,2020-03-27
120,2020-03-28
72,2020-03-29
104,2020-03-30
191,2020-03-31
167,2020-04-01
216,2020-04-02
266,2020-04-03
290,2020-04-04
256,2020-04-05
442,2020-04-06
470,2020-04-07
396,2020-04-08
466,2020-04-09
591,2020-04-10
611,2020-04-11
635,2020-04-12
746,2020-04-13
836,2020-04-14
859,2020-04-15
787,2020-04-16
1032,2020-04-17
1028,2020-04-18
1327,2020-04-19
1542,2020-04-20
1564,2020-04-21
1560,2020-04-22
1658,2020-04-23
1935,2020-04-24
2101,2020-04-25
2276,2020-04-26
2043,2020-04-27
2241,2020-04-28
2799,2020-04-29
2557,2020-04-30
2975,2020-05-01
2597,2020-05-02
2606,2020-05-03
3253,2020-05-04
3162,2020-05-05
2958,2020-05-06
2891,2020-05-07
3166,2020-05-08
3036,2020-05-09
3203,2020-05-10
3322,2020-05-11
3526,2020-05-12
3607,2020-05-13
4005,2020-05-14
4071,2020-05-15
3866,2020-05-16
4340,2020-05-17
4341,2020-05-18
4325,2020-05-19
4236,2020-05-20
4254,2020-05-21
4126,2020-05-22
4035,2020-05-23
4486,2020-05-24
4671,2020-05-25
4606,2020-05-26
4438,2020-05-27
4645,2020-05-28
4280,2020-05-29
4564,2020-05-30
4770,2020-05-31
5204,2020-06-01
4858,2020-06-02
5123,2020-06-03
4977,2020-06-04
4593,2020-06-05
5052,2020-06-06
5291,2020-06-07
5692,2020-06-08
5291,2020-06-09
5439,2020-06-10
5126,2020-06-11
5585,2020-06-12
5287,2020-06-13
5493,2020-06-14
5490,2020-06-15
5993,2020-06-16
5842,2020-06-17
5226,2020-06-18
5046,2020-06-19
4656,2020-06-20
5322,2020-06-21
5191,2020-06-22
4994,2020-06-23
4980,2020-06-24
4840,2020-06-25
5257,2020-06-26
5407,2020-06-27
5337,2020-06-28
5817,2020-06-29
5567,2020-06-30
5354,2020-07-01
5402,2020-07-02
5411,2020-07-03
5705,2020-07-04
5855,2020-07-05
6412,2020-07-06
6373,2020-07-07
5741,2020-07-08
5938,2020-07-09
5664,2020-07-10
5766,2020-07-11
5863,2020-07-12
6438,2020-07-13
6213,2020-07-14
6246,2020-07-15
6338,2020-07-16
5943,2020-07-17
5804,2020-07-18
6262,2020-07-19
6243,2020-07-20
6508,2020-07-21
5754,2020-07-22
6116,2020-07-23
5699,2020-07-24
6059,2020-07-25
6155,2020-07-26
6226,2020-07-27
6041,2020-07-28
5326,2020-07-29
5876,2020-07-30
5288,2020-07-31
5720,2020-08-01
5371,2020-08-02
5882,2020-08-03
6061,2020-08-04
5588,2020-08-05
5412,2020-08-06
5028,2020-08-07
5322,2020-08-08
5091,2020-08-09
5287,2020-08-10
5379,2020-08-11
4788,2020-08-12
4783,2020-08-13
4506,2020-08-14
4526,2020-08-15
4493,2020-08-16
4878,2020-08-17
4370,2020-08-18
4599,2020-08-19
4338,2020-08-20
4333,2020-08-21
4407,2020-08-22
4073,2020-08-23
4198,2020-08-24
4280,2020-08-25
4076,2020-08-26
3848,2020-08-27
4139,2020-08-28
3993,2020-08-29
4113,2020-08-30
4272,2020-08-31
3916,2020-09-01
3834,2020-09-02
3826,2020-09-03
3703,2020-09-04
3551,2020-09-05
3589,2020-09-06
3800,2020-09-07
3361,2020-09-08
3719,2020-09-09
3370,2020-09-10
3401,2020-09-11
3626,2020-09-12
3092,2020-09-13
3523,2020-09-14
3436,2020-09-15
3253,2020-09-16
3104,2020-09-17
2845,2020-09-18
3114,2020-09-19
3293,2020-09-20
3186,2020-09-21
3310,2020-09-22
3095,2020-09-23
3170,2020-09-24
2846,2020-09-25
2994,2020-09-26
2825,2020-09-27
2883,2020-09-28
2880,2020-09-29
2746,2020-09-30
2828,2020-10-01
2808,2020-10-02
2844,2020-10-03
2703,2020-10-04
2891,2020-10-05
2802,2020-10-06
2705,2020-10-07
2726,2020-10-08
2506,2020-10-09
2959,2020-10-10
2818,2020-10-11
3257,2020-10-12
2974,2020-10-13
2870,2020-10-14
3024,2020-10-15
2860,2020-10-16
3049,2020-10-17
3114,2020-10-18
3675,2020-10-19
3315,2020-10-20
3666,2020-10-21
3560,2020-10-22
3488,2020-10-23
3399,2020-10-24
3787,2020-10-25
3824,2020-10-26
3578,2020-10-27
3693,2020-10-28
3740,2020-10-29
3609,2020-10-30
3439,2020-10-31
3515,2020-11-01
3931,2020-11-02
3777,2020-11-03
3775,2020-11-04
3975,2020-11-05
4197,2020-11-06
3615,2020-11-07
3752,2020-11-08
3928,2020-11-09
3680,2020-11-10
3921,2020-11-11
4120,2020-11-12
3857,2020-11-13
3740,2020-11-14
3826,2020-11-15
3899,2020-11-16
4166,2020-11-17
4001,2020-11-18
3722,2020-11-19
4308,2020-11-20
4244,2020-11-21
4741,2020-11-22
4273,2020-11-23
4313,2020-11-24
4201,2020-11-25
4422,2020-11-26
4753,2020-11-27
4316,2020-11-28
4405,2020-11-29
4885,2020-11-30
5090,2020-12-01
4697,2020-12-02
4586,2020-12-03
4512,2020-12-04
4950,2020-12-05
4908,2020-12-06
5171,2020-12-07
4819,2020-12-08
5252,2020-12-09
5094,2020-12-10
5350,2020-12-11
5502,2020-12-12
5462,2020-12-13
5636,2020-12-14
5748,2020-12-15
5622,2020-12-16
5663,2020-12-17
5808,2020-12-18
6083,2020-12-19
5897,2020-12-20
6739,2020-12-21
6122,2020-12-22
6260,2020-12-23
6362,2020-12-24
6306,2020-12-25
6631,2020-12-26
6890,2020-12-27
7230,2020-12-28
7283,2020-12-29
7053,2020-12-30
6628,2020-12-31
6770,2021-01-01
6077,2021-01-02
5420,2021-01-03
5332,2021-01-04
4363,2021-01-05
3978,2021-01-06
3285,2021-01-07
3214,2021-01-08
2438,2021-01-09
2412,2021-01-10
2433,2021-01-11
1911,2021-01-12
1515,2021-01-13
1354,2021-01-14
1173,2021-01-15
985,2021-01-16
834,2021-01-17
759,2021-01-18
769,2021-01-19
695,2021-01-20
547,2021-01-21
412,2021-01-22
328,2021-01-23
312,2021-01-24
382,2021-01-25
269,2021-01-26
285,2021-01-27
186,2021-01-28
168,2021-01-29
152,2021-01-30
129,2021-01-31
176,2021-02-01
116,2021-02-02
147,2021-02-03
88,2021-02-04
69,2021-02-05
80,2021-02-06
59,2021-02-07
49,2021-02-08
41,2021-02-09
50,2021-02-10
60,2021-02-11
45,2021-02-12
37,2021-02-13
30,2021-02-14
42,2021-02-15
33,2021-02-16
20,2021-02-17
27,2021-02-18
21,2021-02-19
17,2021-02-20
14,2021-02-21
1,2021-02-22
3,2021-02-25
12,2021-02-26
13,2021-02-27
5,2021-02-28
6,2021-03-01
6,2021-03-02
11,2021-03-03
22,2021-03-04
11,2021-03-05
17,2021-03-06
6,2021-03-07
6,2021-03-08
1,2021-03-09
24,2021-03-11
17,2021-03-14
4,2021-03-21
11,2021-03-23
5,2021-03-26
6,2021-03-29
1,2021-03-31
3,2021-04-01
3,2021-04-02
3,2021-04-09
4,2021-04-13
5,2021-04-22
2,2021-04-23
4,2021-04-29
4,2021-05-02
4,2021-05-06
1,2021-05-11
4,2021-05-14
4,2021-05-20
1,2021-05-22
3,2021-06-02
3,2021-06-06
2,2021-06-08
2,2021-06-09
3,2021-06-12
3,2021-06-17
2,2021-06-30
8,2021-07-07
2,2021-07-09
1,2021-07-28
1,2021-08-17
