location,vaccine,total_vaccinations
Austria,Johnson&Johnson,0
Austria,Moderna,0
Austria,Oxford/AstraZeneca,0
Austria,Pfizer/BioNTech,31394
Austria,Johnson&Johnson,0
Austria,Moderna,91
Austria,Oxford/AstraZeneca,0
Austria,Pfizer/BioNTech,116787
Austria,Johnson&Johnson,0
Austria,Moderna,310
Austria,Oxford/AstraZeneca,1
Austria,Pfizer/BioNTech,214625
Austria,Johnson&Johnson,0
Austria,Moderna,4263
Austria,Oxford/AstraZeneca,2
Austria,Pfizer/BioNTech,259623
Austria,Johnson&Johnson,0
Austria,Moderna,5967
Austria,Oxford/AstraZeneca,10
Austria,Pfizer/BioNTech,355562
Austria,Johnson&Johnson,0
Austria,Moderna,10065
Austria,Oxford/AstraZeneca,10834
Austria,Pfizer/BioNTech,457486
Austria,Johnson&Johnson,0
Austria,Moderna,14200
Austria,Oxford/AstraZeneca,43674
Austria,Pfizer/BioNTech,523386
Austria,Johnson&Johnson,0
Austria,Moderna,22625
Austria,Oxford/AstraZeneca,101612
Austria,Pfizer/BioNTech,584751
Austria,Johnson&Johnson,0
Austria,Moderna,31985
Austria,Oxford/AstraZeneca,156570
Austria,Pfizer/BioNTech,689442
Austria,Johnson&Johnson,0
Austria,Moderna,47366
Austria,Oxford/AstraZeneca,235426
Austria,Pfizer/BioNTech,852795
Austria,Johnson&Johnson,16
Austria,Moderna,79205
Austria,Oxford/AstraZeneca,308857
Austria,Pfizer/BioNTech,985682
Austria,Johnson&Johnson,30
Austria,Moderna,104644
Austria,Oxford/AstraZeneca,384409
Austria,Pfizer/BioNTech,1132083
Austria,Johnson&Johnson,51
Austria,Moderna,141061
Austria,Oxford/AstraZeneca,423025
Austria,Pfizer/BioNTech,1280443
Austria,Johnson&Johnson,93
Austria,Moderna,180646
Austria,Oxford/AstraZeneca,513583
Austria,Pfizer/BioNTech,1502008
Austria,Johnson&Johnson,102
Austria,Moderna,223207
Austria,Oxford/AstraZeneca,609634
Austria,Pfizer/BioNTech,1735971
Austria,Johnson&Johnson,107
Austria,Moderna,260552
Austria,Oxford/AstraZeneca,658644
Austria,Pfizer/BioNTech,1999668
Austria,Johnson&Johnson,370
Austria,Moderna,299528
Austria,Oxford/AstraZeneca,701154
Austria,Pfizer/BioNTech,2273247
Austria,Johnson&Johnson,6507
Austria,Moderna,348843
Austria,Oxford/AstraZeneca,764266
Austria,Pfizer/BioNTech,2603812
Austria,Johnson&Johnson,13509
Austria,Moderna,398748
Austria,Oxford/AstraZeneca,828537
Austria,Pfizer/BioNTech,2903381
Austria,Johnson&Johnson,25776
Austria,Moderna,466754
Austria,Oxford/AstraZeneca,906436
Austria,Pfizer/BioNTech,3281282
Austria,Johnson&Johnson,37936
Austria,Moderna,520373
Austria,Oxford/AstraZeneca,989483
Austria,Pfizer/BioNTech,3616651
Austria,Johnson&Johnson,58161
Austria,Moderna,575774
Austria,Oxford/AstraZeneca,1058274
Austria,Pfizer/BioNTech,4042366
Austria,Johnson&Johnson,79823
Austria,Moderna,638794
Austria,Oxford/AstraZeneca,1153814
Austria,Pfizer/BioNTech,4480949
Austria,Johnson&Johnson,94785
Austria,Moderna,688445
Austria,Oxford/AstraZeneca,1206354
Austria,Pfizer/BioNTech,4936120
Austria,Johnson&Johnson,103341
Austria,Moderna,744198
