Entity,Code,Day,Fully vaccinated,Unvaccinated or not fully vaccinated,Fully vaccinated + booster
06-11,,2021-09-04,0,0,0
06-11,,2021-09-11,0,0,0
06-11,,2021-09-18,0,0,0
06-11,,2021-09-25,0,0,0
06-11,,2021-10-02,0,0,0
06-11,,2021-10-09,0,0,0
06-11,,2021-10-16,0,0,0
06-11,,2021-10-23,0,0,0
06-11,,2021-10-30,0,0,0
06-11,,2021-11-06,0,0,0
06-11,,2021-11-13,0,0,0
06-11,,2021-11-20,0,0.100542426390376,0
06-11,,2021-11-27,0,0,0
06-11,,2021-12-04,0,0,0
06-11,,2021-12-11,0,0,0
06-11,,2021-12-18,0,0,0
06-11,,2021-12-25,0,0,0
06-11,,2022-01-01,0,0,0
06-11,,2022-01-08,0,0,0
06-11,,2022-01-15,0,0,0
12-20,,2021-08-07,0,0.0579070314191971,
12-20,,2021-08-14,0,0,
12-20,,2021-08-21,0,0,
12-20,,2021-08-28,0,0,
12-20,,2021-09-04,0,0,0
12-20,,2021-09-11,0,0.0957984706732141,0
12-20,,2021-09-18,0,0,0
12-20,,2021-09-25,0,0,0
12-20,,2021-10-02,0,0,0
12-20,,2021-10-09,0,0,0
12-20,,2021-10-16,0,0,0
12-20,,2021-10-23,0,0,0
12-20,,2021-10-30,0,0,0
12-20,,2021-11-06,0,0,0
12-20,,2021-11-13,0,0,0
12-20,,2021-11-20,0,0,0
12-20,,2021-11-27,0,0,0
12-20,,2021-12-04,0.0531998372084981,0,0
12-20,,2021-12-11,0,0,0
12-20,,2021-12-18,0,0,0
12-20,,2021-12-25,0,0,0
12-20,,2022-01-01,0,0,0
12-20,,2022-01-08,0,0,0
12-20,,2022-01-15,0,0,0
21-30,,2021-08-07,0.0454101054740519,0.2159556686203456,
21-30,,2021-08-14,0,0.3414111204430151,
21-30,,2021-08-21,0,0.2407248707307444,
21-30,,2021-08-28,0,0,
21-30,,2021-09-04,0,0,0
21-30,,2021-09-11,0,0,0
21-30,,2021-09-18,0,0.3183420744761283,0
21-30,,2021-09-25,0,0,0
21-30,,2021-10-02,0,0,0
21-30,,2021-10-09,0,0.1965157753038624,0
21-30,,2021-10-16,0,0,0
21-30,,2021-10-23,0,0.2139435574106839,0
21-30,,2021-10-30,0.0422147905428737,0,0
21-30,,2021-11-06,0.0431048045908341,0,0
21-30,,2021-11-13,0,0.4746602619175325,0
21-30,,2021-11-20,0,0.2464717568013881,0
21-30,,2021-11-27,0,0.5140304614451452,0
21-30,,2021-12-04,0.052218312231043,0.2679686369507313,0
21-30,,2021-12-11,0,0,0
21-30,,2021-12-18,0,0,0
21-30,,2021-12-25,0.0673967532288099,0,0
21-30,,2022-01-01,0,0.3122014573564029,0
21-30,,2022-01-08,0,0,0
21-30,,2022-01-15,0,0,0
31-40,,2021-08-07,0.0852866826550767,0.9902474769908924,
