Entity,Code,Day,weekly_deaths_rolling_normalized,people_in_hospital_normalized,weekly_cases_rolling_normalized,people_ventilated_normalized
England,,2020-02-28,0.11,,0,
England,,2020-02-29,0.11,,0,
England,,2020-03-01,0.33,,0.01,
England,,2020-03-02,0.5,,0.01,
England,,2020-03-03,0.77,,0.01,
England,,2020-03-04,0.91,,0.02,
England,,2020-03-05,1.32,,0.02,
England,,2020-03-06,1.83,,0.03,
England,,2020-03-07,2.22,,0.04,
England,,2020-03-08,2.67,,0.06,
England,,2020-03-09,2.79,,0.06,
England,,2020-03-10,3.36,,0.07,
England,,2020-03-11,4.97,,0.08,
England,,2020-03-12,6.8,4.6,0.1,
England,,2020-03-13,8.4,6.27,0.13,
England,,2020-03-14,11.4,7.78,0.18,
England,,2020-03-15,14.24,9.27,0.23,
England,,2020-03-16,16.39,10.48,0.24,
England,,2020-03-17,19.99,12.82,0.33,
England,,2020-03-18,22.82,15.22,0.48,
England,,2020-03-19,28.29,18.82,0.6,39.99
England,,2020-03-20,33.76,21.17,0.73,47.86
England,,2020-03-21,38.58,24.53,0.9,52.19
England,,2020-03-22,43.74,28.69,0.98,56.13
England,,2020-03-23,48.56,32.48,1.16,60.6
England,,2020-03-24,50.8,35.12,1.4,66.17
England,,2020-03-25,58.87,35.34,1.53,68.55
England,,2020-03-26,62.76,39.71,1.86,68.15
England,,2020-03-27,67.63,45.05,2.36,75.48
England,,2020-03-28,72.42,48.51,2.7,76.69
England,,2020-03-29,73.13,49.96,3.1,77.11
England,,2020-03-30,73.46,51.88,3.45,76.87
England,,2020-03-31,75.51,52.87,3.75,76.26
England,,2020-04-01,75.48,53.66,4.42,76.2
England,,2020-04-02,73.06,54.37,4.89,75.96
England,,2020-04-03,72.01,54.18,5.17,74.41
England,,2020-04-04,69.38,55.26,5.37,76.77
England,,2020-04-05,72.64,54.23,6.18,75.48
England,,2020-04-06,69.82,54.03,6.47,74.41
England,,2020-04-07,67.83,52.23,6.61,72.3
England,,2020-04-08,69.2,51.79,6.92,70.82
England,,2020-04-09,69.14,48.72,6.98,68.6
England,,2020-04-10,65.21,49.07,7.16,64.61
England,,2020-04-11,65.15,49.3,7.41,64.37
England,,2020-04-12,61.69,48.5,7.03,61.8
England,,2020-04-13,61.02,48.1,6.98,58.73
England,,2020-04-14,57.91,46.65,7.21,56.02
England,,2020-04-15,54.71,44.86,6.79,54.74
England,,2020-04-16,53.19,42.64,6.61,53.29
England,,2020-04-17,52.55,41.36,6.53,52.3
England,,2020-04-18,50.06,41.28,6.46,49.36
England,,2020-04-19,46.99,41.52,6.44,48.05
England,,2020-04-20,45.66,39.51,6.28,46.15
England,,2020-04-21,45.14,38.51,6.08,44.49
England,,2020-04-22,42.33,37.63,6.03,43.09
England,,2020-04-23,41.38,36.76,6.02,39.96
England,,2020-04-24,39.3,35.86,5.76,38.7
England,,2020-04-25,37.72,35.3,5.57,37.42
England,,2020-04-26,34.46,35.01,5.19,36.46
England,,2020-04-27,34.06,34.23,5.15,35.22
England,,2020-04-28,33.14,32.7,4.86,33.38
England,,2020-04-29,31.88,31.24,4.43,32.07
England,,2020-04-30,29.78,29.85,4.27,31.1
England,,2020-05-01,28.85,29.64,4.14,32.12
England,,2020-05-02,26.1,28.81,3.98,29.47
England,,2020-05-03,27.64,29.44,3.95,28.48
England,,2020-05-04,25.79,28.52,3.74,27.03
England,,2020-05-05,25.29,27.96,3.7,26.12
England,,2020-05-06,24.13,26.88,3.76,24.65
England,,2020-05-07,22.83,26.44,3.66,23.93
England,,2020-05-08,21.79,25.17,3.45,22.81
England,,2020-05-09,21.5,25.08,3.22,21.81
England,,2020-05-10,19.6,25.24,2.95,21.04
